U	2399
Y	1
U	2367
Y	33
U	2335
Y	65
U	2303
Y	97
U	2271
Y	129
U	2239
Y	161
U	2207
Y	193
U	2175
Y	225
U	2143
Y	257
U	2111
Y	289
U	2079
Y	321
U	2047
Y	353
U	2015
Y	385
U	1983
Y	417
U	1951
Y	449
U	1919
Y	481
U	1887
Y	513
U	1855
Y	545
U	1823
Y	577
U	1791
Y	609
U	1759
Y	641
U	1727
Y	673
U	1695
Y	705
U	1663
Y	737
U	1631
Y	769
U	1599
Y	801
U	1567
Y	833
U	1535
Y	865
U	1503
Y	897
U	1471
Y	929
U	1439
Y	961
U	1407
Y	993
U	1375
Y	1025
U	1343
Y	1057
U	1311
Y	1089
U	1279
Y	1121
U	1247
Y	1153
U	1215
Y	1185
U	1183
Y	1217
U	1151
Y	1249
U	1119
Y	1281
U	1087
Y	1313
U	1055
Y	1345
U	1023
Y	1377
U	991
Y	1409
U	959
Y	1441
U	927
Y	1473
U	895
Y	1505
U	863
Y	1537
U	831
Y	1569
U	799
Y	1601
U	767
Y	1633
U	735
Y	1665
U	703
Y	1697
U	671
Y	1729
U	639
Y	1761
U	607
Y	1793
U	575
Y	1825
U	543
Y	1857
U	511
Y	1889
U	479
Y	1921
U	447
Y	1953
U	415
Y	1985
U	383
Y	2017
U	351
Y	2049
U	319
Y	2081
U	287
Y	2113
U	255
Y	2145
U	223
Y	2177
U	191
Y	2209
U	159
Y	2241
U	127
Y	2273
U	95
Y	2305
U	63
Y	2337
U	31
Y	2369
